id,name,email,role,area,manager_id,phone
ceo_grupo,Andres Meta,andres.meta@bind.com.ar,CEO Grupo,Direccion Grupo,,+5491100100001
chairman,Ariel Sigal,ariel.sigal@bind.com.ar,Chairman Grupo BIND,Presidencia Grupo,ceo_grupo,+5491100100002
ceo_inv,Juan Martin Aguiar,juan.aguiar@bind.com.ar,CEO Bind Inversiones,Bind Inversiones,chairman,+5491100100003
dir_altmann,Juan Carlos Altmann,juan.altmann@bind.com.ar,Director,Direccion Grupo,chairman,+5491100100004
dir_coscia,Alejandro Coscia,alejandro.coscia@bind.com.ar,Director,Direccion Grupo,chairman,+5491100100005
gte_general,Gaston Eckelhart,gaston.eckelhart@bind.com.ar,Gerente General,Direccion General,chairman,+5491100100006
ceo_seg,Sebastian Habif,sebastian.habif@bind.com.ar,CEO Bind Seguros,Bind Seguros,chairman,+5491100100007
dir_lede,Hernan Lede,hernan.lede@bind.com.ar,Director,Direccion Grupo,chairman,+5491100100008
dir_menalled,Ramon Menalled,ramon.menalled@bind.com.ar,Director,Direccion Grupo,chairman,+5491100100009
dir_mizraji,Jaime Mizraji,jaime.mizraji@bind.com.ar,Director,Direccion Grupo,chairman,+5491100100010
ceo_pagos,Alberto Murad,alberto.murad@bind.com.ar,CEO Bind Pagos,Bind Pagos,chairman,+5491100100011
pres_garantias,Sabina Ozomek,sabina.ozomek@bind.com.ar,Presidente Bind Garantias,Bind Garantias,chairman,+5491100100012
pres_prida,Andres Prida,andres.prida@bind.com.ar,Presidente,Direccion Grupo,chairman,+5491100100013
adsc_vazquez,Facundo Vazquez,facundo.vazquez@bind.com.ar,Adscripto a la Presidencia,Presidencia Grupo,chairman,+5491100100014
inv_koltan,Damian Koltan,damian.koltan@bind.com.ar,Director de Productos,Bind Inversiones,ceo_inv,+5491100100020
inv_riskhead,Mariana Lopez,mariana.lopez@bind.com.ar,Head of Investment Risk,Bind Inversiones,ceo_inv,+5491100100021
inv_traders,Federico Bauer,federico.bauer@bind.com.ar,Head of Trading,Bind Inversiones,ceo_inv,+5491100100022
inv_research,Camila Ferraro,camila.ferraro@bind.com.ar,Head of Research,Bind Inversiones,ceo_inv,+5491100100023
inv_ops,Pablo Sosa,pablo.sosa@bind.com.ar,COO Bind Inversiones,Bind Inversiones,ceo_inv,+5491100100024
