id,name,email,role,area,manager_id,phone
p001,Romina Cavallo,romina.cavallo@bind.com.ar,CEO,Direccion Grupo,,+549112001001
p002,Felipe Iriarte,felipe.iriarte@bind.com.ar,Chairman Grupo BIND,Presidencia Grupo,p001,+549112001002
p003,Isabella Tagle,isabella.tagle@bind.com.ar,CEO Bind Inversiones,Bind Inversiones,p002,+549112001003
p004,Hernan Wong,hernan.wong@bind.com.ar,Director,Direccion Grupo,p002,+549112001004
p005,Nicolas Donsanti,nicolas.donsanti@bind.com.ar,Director,Direccion Grupo,p002,+549112001005
p006,Amparo Echeverria,amparo.echeverria@bind.com.ar,Gerente General,Direccion General,p002,+549112001006
p007,Diego Mendoza,diego.mendoza@bind.com.ar,CEO Bind Seguros,Bind Seguros,p002,+549112001007
p008,Sebastian Garcia,sebastian.garcia@bind.com.ar,Director,Direccion Grupo,p002,+549112001008
p009,Sara Frangi,sara.frangi@bind.com.ar,Director,Direccion Grupo,p002,+549112001009
p010,Diego Zorrilla,diego.zorrilla@bind.com.ar,Director,Direccion Grupo,p002,+549112001010
p011,Ricardo Wong,ricardo.wong@bind.com.ar,CEO Bind Pagos,Bind Pagos,p002,+549112001011
p012,Paloma Fonseca,paloma.fonseca@bind.com.ar,Presidente Bind Garantias y Directora de Grupo Bind,Bind Garantias,p002,+549112001012
p013,Lautaro Donsanti,lautaro.donsanti@bind.com.ar,Presidente,Direccion Grupo,p002,+549112001013
p014,Felipe Acevedo,felipe.acevedo@bind.com.ar,Adscripto a la Presidencia,Presidencia Grupo,p002,+549112001014
p020,Luciana Fernandez,luciana.fernandez@bind.com.ar,Embajadora de Grupo Bind,Bind Inversiones,p003,+549112001020
p021,Cesar Mendizabal,cesar.mendizabal@bind.com.ar,CIO,Bind Inversiones,p003,+549112001021
p022,Gonzalo Espina,gonzalo.espina@bind.com.ar,Head Compliance & PLD,Bind Inversiones,p003,+549112001022
p023,Cesar Paz,cesar.paz@bind.com.ar,COO Bind Inversiones,Bind Inversiones,p003,+549112001023
p024,Nicolas Zaccone,nicolas.zaccone@bind.com.ar,Gerente Comercial Inversiones,Bind Inversiones,p003,+549112001024
p025,Valeria Wachsman,valeria.wachsman@bind.com.ar,Head Trader,Bind Inversiones,p003,+549112001025
p026,Lourdes Frangi,lourdes.frangi@bind.com.ar,Head de Mercado de Capitales,Bind Inversiones,p003,+549112001026
p030,Bruno Falcon,bruno.falcon@bind.com.ar,Gerente de Creditos,Riesgos,p005,+549112001030
p031,Belen Velez,belen.velez@bind.com.ar,Gte. de Creditos Individuos,Riesgos,p005,+549112001031
p032,Esteban Zaccone,esteban.zaccone@bind.com.ar,Gerente,Riesgos,p005,+549112001032
p040,Sofia Xirau,sofia.xirau@bind.com.ar,Gerente de Administracion,Administracion,p006,+549112001040
p041,Octavio Higueras,octavio.higueras@bind.com.ar,Secretaria de Presidencia,Direccion General,p006,+549112001041
p042,Rocio Bordon,rocio.bordon@bind.com.ar,Head Banking as a Service,Banking as a Service,p006,+549112001042
p043,Magdalena Iturbe,magdalena.iturbe@bind.com.ar,Gerencia de Relaciones Institucionales y RSE,RRII y RSE,p006,+549112001043
p044,Martin Garcia,martin.garcia@bind.com.ar,Asistente de Presidencia,Direccion General,p006,+549112001044
p045,Octavio Larrain,octavio.larrain@bind.com.ar,Gerente Ejecutivo de Finanzas,Finanzas,p006,+549112001045
p046,Maximiliano Otamendi,maximiliano.otamendi@bind.com.ar,Head de Diseño de Productos y Negocios,Productos,p006,+549112001046
p047,Constanza Mendizabal,constanza.mendizabal@bind.com.ar,Team Leader Banca Empresa,Banca Empresa,p006,+549112001047
p048,Belen Xavier,belen.xavier@bind.com.ar,Jefe de Compras,Compras,p006,+549112001048
p049,Luciana Yapura,luciana.yapura@bind.com.ar,Secretaria de Presidencia,Direccion General,p006,+549112001049
p050,Alejo Dominguez,alejo.dominguez@bind.com.ar,Gerente,Operaciones,p006,+549112001050
p051,Agustina Jauregui,agustina.jauregui@bind.com.ar,Gerente Ejecutivo de Tecnologia y Sistemas,Tecnologia,p006,+549112001051
p052,Olivia Yanez,olivia.yanez@bind.com.ar,Gerente de RRHH,RRHH,p006,+549112001052
p060,Wenceslao Iriarte,wenceslao.iriarte@bind.com.ar,Gerente General Bind Seguros,Bind Seguros,p007,+549112001060
p061,Luciana Lange,luciana.lange@bind.com.ar,Principal de Venture Capital,Bind Seguros,p007,+549112001061
p070,Constanza Lozano,constanza.lozano@bind.com.ar,Gerente de PLAFT y Cumplimiento,Compliance,p008,+549112001070
p071,Zaira Fonseca,zaira.fonseca@bind.com.ar,Gerente de Seguridad de la Informacion,Seguridad,p008,+549112001071
p072,Jeronimo Hernandez,jeronimo.hernandez@bind.com.ar,Gerente de Riesgos y Control de Creditos,Riesgos,p008,+549112001072
p073,Maximiliano Echeverria,maximiliano.echeverria@bind.com.ar,Gerente de Auditoria,Auditoria,p008,+549112001073
p080,Maria Cabrera,maria.cabrera@bind.com.ar,Jefe de Operaciones,Operaciones,p010,+549112001080
p090,Agustina Iturbe,agustina.iturbe@bind.com.ar,Analista de Operaciones Jr,Bind Pagos,p011,+549112001090
